DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
229.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.1538216,,
229.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.3062216,,
229.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4586216,,
229.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.6110216,,
229.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.7634216,,
229.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
229.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.9158216,,
229.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5153,,,,,,Drilling,,,,,
230.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0682216,,
230.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
