Depth,MWIN,HKLD_AVG,ONBOTTOM_TIME,MWINANN,WOB_MAX,SURF_REVS,WOB_MIN,BIT_RPM_MIN,STRATESUM,TBR,MROUT,FLOWIN,FLOWOUT,BIT_RPM_MAX,TORQUE_AVG,ROT_TIME,MRIN,FLOWOUTPC,PUMP_MAX,MUDRETDEPTH,MOTOR_RPM,TOTGAS_MAX,TORQUE_MAX,TOTGAS_AVG,HKLD_MAX,WOB_AVG,MWOUT,ECDBIT,TORQUE_MIN,MTIN,RigActivityCode,BIT_DIST,EditFlag,PIT_DRILL,MTOUT,PUMP_AVG,HKLD_MIN,BIT_RPM_AVG,PUMP_MIN,BITVELOCITY,Time
2588.4,0,1260461.9,0,0,146774.57,3258.37,32254.51,0,0.36666667,0,0,0.0081216667,0.020450531,0,6.462202,11217,0,0,2487168.6,0,0,0,6.462202,0,1261952,141859.74,0,0,6.462202,0,12,3231,0,54.109665,0,2468731.4,1258106,0,2448414.6,0.096207816,2013-10-25T17:21:11.000Z
2588.7,0,1237227.2,0,0,169851.57,3258.37,32807.2,0,0.36666667,0,0,0.0081216667,0.020641666,0,6.462202,11217,0,0,2471648.7,0,0,0,6.462202,0,1261952,153988.82,0,0,6.462202,0,12,3231,0,54.105474,0,2463102.4,1231183,0,2460356.1,0.096207816,2013-10-25T17:21:17.000Z
2589,0,1249665.2,0,0,169851.57,3258.37,34059.9,0,0.36666667,0,0,0.0081216667,0.020655861,0,6.462202,11217,0,0,2471418.6,0,0,0,6.462202,0,1250414,156616.3,0,0,6.462202,0,12,3231,0,54.119562,0,2464941.1,1231183,0,2461434.2,0.09507596,2013-10-25T17:21:23.000Z
2589.3,0,1242985,0,0,166005.57,3258.37,35298.48,0,0.36666667,0,0,0.0081216667,0.020651774,0,6.462202,11217,0,0,2477169.6,0,0,0,6.462202,0,1250414,155781.8,0,0,6.462202,0,12,3231,0,54.118759,0,2462468,1235029,0,2446287.5,0.096207816,2013-10-25T17:21:29.000Z
2589.6,0,1235331,0,0,169851.57,3258.37,36127.66,0,0.36666667,0,0,0.0081216667,0.020654513,0,6.462202,11217,0,0,2475643.8,0,0,0,6.462202,0,1242722,161917.07,0,0,6.462202,0,12,3231,0,54.119281,0,2461802.5,1231183,0,2446287.5,0.096207816,2013-10-25T17:21:35.000Z
2589.9,0,1246921.3,0,0,173697.57,3258.37,36782.57,0,0.36666667,0,0,0.0081216667,0.020460839,0,6.462202,11217,0,0,2475979.6,0,0,0,6.462202,0,1254260,158377.67,0,0,6.462202,0,12,3231,0,54.138912,0,2464110.3,1227337,0,2448615.7,0.09507596,2013-10-25T17:21:43.000Z
2590.2,0,1247814.8,0,0,173697.57,3258.37,36481.86,0,0.36666667,0,0,0.0081216667,0.020355996,0,6.462202,11217,0,0,2477936.7,0,0,0,6.462202,0,1258106,158315.04,0,0,6.462202,0,12,3231,0,54.130174,0,2455967.5,1242722,0,2436682.4,0.096207816,2013-10-25T17:21:49.000Z
2590.5,0,1251645.2,0,0,158312.57,3258.37,35981.51,0,0.36666667,0,0,0.0081216667,0.020638706,0,6.462202,11217,0,0,2458602.2,0,0,0,6.462202,0,1269645,153669.38,0,0,6.462202,0,12,3231,0,54.134981,0,2456598.1,1242722,0,2436682.4,0.09507596,2013-10-25T17:21:55.000Z
2590.8,0,1253290.2,0,0,158312.57,3258.37,35981.51,0,0.36666667,0,0,0.0081216667,0.020518484,0,6.462202,11217,0,0,2469882.4,0,0,0,6.462202,0,1269645,147035.71,0,0,6.462202,0,12,3231,0,54.148559,0,2463354.1,1246568,0,2453587.2,0.096207816,2013-10-25T17:22:01.000Z
2591.1,0,1253676.3,0,0,154466.57,3258.37,37387.18,0,0.36666667,0,0,0.0081216667,0.02050639,0,6.462202,11217,0,0,2471893.4,0,0,0,6.462202,0,1265798,139690.5,0,0,6.462202,0,12,3231,0,54.159975,0,2457565.3,1242722,0,2451080.7,0.09507596,2013-10-25T17:22:07.000Z
2591.4,0,1245604.2,0,0,162158.57,3258.37,34585.29,0,0.36666667,0,0,0.0081216667,0.02065013,0,6.462202,11217,0,0,2471893.4,0,0,0,6.462202,0,1258106,160073.16,0,0,6.462202,0,12,3231,0,54.167691,0,2464258.7,1238876,0,2455793,0.096207816,2013-10-25T17:22:13.000Z
2591.7,0,1247837.4,0,0,166005.57,3258.37,9049.739,0,0.36666667,0,0,0.0081216667,0.020656434,0,6.462202,11217,0,0,2474229.9,0,0,0,6.462202,0,1261952,145079.13,0,0,6.462202,0,12,3231,0,54.161887,0,2465037.5,1235029,0,2445686.3,0.09507596,2013-10-25T17:22:21.000Z
