Time,FLOWOUT,RigActivityCode,BLOCKCOMP,TRIPOUTSLIPS,STANDSTOGO,EditFlag,TRIPPULL,TRIPREAMFLAG,PIT_TRIPOUT,TRIPPVT,TRIPCFILL,JOINTSDONE,HKLD,Depth,TRIPRUN,TRIPEXPFILL,STANDSDONE,TRIPINSLIPS,INSLIPS_STATUS,TRIPEXPPVT,TRIPFILL,TRIPCEXPFILL,JOINTSTOGO,TRIPNUM,FLOWOUTPC,PIT_TRIPIN
2016-08-28T11:26:00.000Z,3.0940113E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,700421,1,0,0.005451232,1,3722,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:26:30.000Z,3.0955213E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3752,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:27:00.000Z,3.093686E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3782,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:27:30.000Z,3.0969397E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3812,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:28:00.000Z,3.0957945E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3842,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:28:30.000Z,3.093243E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3870,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:29:00.000Z,3.0957501E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3900,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:29:30.000Z,3.0900581E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3930,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:30:00.000Z,3.090158E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,696574.9,1,0,0.005451232,1,3960,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:30:30.000Z,3.0893317E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,3990,0,0.005451232,0,0,38,1,0,4.510181
2016-08-28T11:31:00.000Z,3.0900875E-05,14,10.90353,0,38,0,0,0,4.510181,4.510181,0,1,692728.9,1,0,0.005451232,1,4020,0,0.005451232,0,0,38,1,0,4.510181
